"","white","black","hisp","marnvr","marapt","agelt20","age2024","age2534","age3544","agege45","agelt24","agege24","agelt30","agege30","anyernpq8","anyernpq6","anyernpq5","anyernpq4","anyernpq3","anyernpq2","anyernpq1","anyadcpq7","anyadcpq6","anyadcpq5","anyadcpq4","anyadcpq3","anyadcpq2","anyadcpq1","anyfstpq7","anyfstpq6","anyfstpq5","anyfstpq4","anyfstpq3","anyfstpq2","anyfstpq1","nohsged","hsged","applcant","anyernpq","anyadcpq","anyfstpq","yrern","yremp","yradc","yrfst","yrernsq","yrvad","yrkvad","yrvfs","ernpq8","ernpq6","ernpq5","ernpq4","ernpq3","ernpq2","ernpq1","adcpq7","adcpq6","adcpq5","adcpq4","adcpq3","adcpq2","adcpq1","fstpq7","fstpq6","fstpq5","fstpq4","fstpq3","fstpq2","fstpq1","treatmnt","on_welfare"
"11",1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,1,4922.09701145571,110.434540014947,5234.39126232038,3230.89969358196,86980138.5555841,140.908648367961,1197.74690614429,83.0416323683777,1082.44590083279,1012.64157170357,-671.545819047335,-634.561095034273,-619.528586587041,414.944607204047,586.163323775843,841.42461183181,540.401578856756,-848.775370474967,1677.20880181621,1641.59519907886,730.978293797298,1348.14003943415,33.8527091237116,-209.683956357167,-286.657786839789,878.280749174077,521.765165661033,630.962838543189,826.337460145898,1,1
"12",0,1,0,1,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1,2837.17875895583,124.528002456096,-70.395854615522,760.567397951915,-53038705.5927493,72.095441235157,943.877659702073,106.518464587139,-397.282009473524,1794.63606103477,1017.61859104075,44.2886787650696,1046.12152447272,222.954185104952,-250.216703300761,50.987659459156,294.364141292438,410.455730229546,387.040957475298,-62.7717688228023,305.729098223861,1732.38746064779,-162.299271351248,95.2590634087177,-217.931366684235,-3.52016605378407,6.18521646419354,275.822805057057,1092.83308032972,1,1
"13",0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,-1652.81188477341,-9.81105718812351,4578.87439804312,2307.51017391159,-75835189.7254023,115.465339463346,1824.68758830524,109.405489122314,560.201936575087,-218.959603008921,-1246.97374943802,-636.068048640763,-1019.90844801653,502.049878443406,113.497819524775,1160.16660567976,2092.81873582171,912.095896328005,1758.40070969681,1237.81058409151,1128.63634896285,1643.60956616907,405.229455366108,328.636845033198,359.874553157608,349.505876217156,728.879828851707,559.789346681888,655.199684499955,0,0
"14",1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,0,-5892.21375644985,-25.9749743576089,5945.40962234203,1569.656588192,-11057691.2349563,91.273809940747,1288.72052374836,71.1073954044152,-225.406127112718,907.556869258459,-207.16669067614,9.75174237202523,-1390.8885289659,-218.035790621332,-852.006809202467,755.346094450213,86.0028364587347,868.947612171083,1263.82482868836,2002.33199200384,1469.64951780842,1316.79841034379,74.6800010252247,-177.546100784027,-39.5494932121901,711.881409144602,428.062119763133,312.651930091545,444.374287628612,1,0
"15",0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,4092.88109838936,144.52701058683,5637.95674480157,2873.09305881526,-74019250.8873033,85.8049283148444,1719.16481330929,101.546422218837,2263.42918965826,681.408995854892,-932.170203550461,-124.360266854002,-329.623325599118,363.412459725574,2100.43294190369,2078.75667687699,2528.23305023526,1246.33114639132,1788.96422410583,864.965727645931,1727.19538334477,586.685658094318,561.361356025865,752.901435765606,663.600521689473,777.99666342504,617.548209912299,412.773118652142,684.078922789665,0,1
"16",0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,-119.545962276587,-57.7394935717425,2268.50713753215,1013.62819517612,-9755750.21296124,101.292833349541,628.056264252947,81.853227200144,-711.239658661161,82.1187507284668,9.992505419041,-573.974293416731,-145.341903327899,657.348581797233,-2.47677890225115,-757.563025815361,-25.2533208784623,545.651367877181,-114.160620072247,-182.588874571238,1710.24462780614,1285.60858086023,47.7866267244304,-74.685924503404,152.570355495853,174.144527173764,-189.816259548977,595.785406564892,439.058313199633,1,1
"17",0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,16356.9257706182,121.950959359085,-1491.50480332902,983.188921770921,227033248.685826,40.4310161390073,-244.732843926812,133.721783414278,3734.38066202147,3222.31454236235,2719.25608940204,4370.03660006427,4146.47206765591,5687.03315572476,5585.68327914319,262.337132787975,383.735812885281,-416.364899717339,-250.811356820366,405.133464395165,266.015208088411,340.448627152338,-80.6705307514885,-53.3380840394353,-117.895897244394,4.67131874819655,-239.028183943028,395.871905738199,-256.834376085552,0,0
"18",0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,26211.0782443408,100.894591069751,-1014.52222917876,-29.716123084959,408392454.643508,-25.9104036736073,-84.149997669826,-6.06222801606276,2082.09929750024,7820.63798455655,10219.6468128492,10077.8325818492,8175.43604813821,7000.11683601075,22.0106718435458,215.350721325727,72.9375443048773,-305.346211647648,616.205113401268,11.7805500056791,452.906119115355,791.467843819314,-68.5951106323539,244.608886515913,158.297750313044,-190.77935121361,-189.77695242804,-78.9977879053352,-3.46253817827515,1,0
"19",1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,2184.86073479324,25.3043996598393,7316.09280563199,2132.52734641351,16903505.5336801,93.1509558300465,1198.67956571787,134.779756183314,752.276596750658,850.643257444861,-480.013819857566,413.648165638331,-85.7593208127363,100.880267558659,-800.242050618306,1102.7759856256,1586.47512739952,1949.92985775491,1570.91799666618,1314.19324327619,1033.27987024696,1720.08058203271,207.057097082799,397.126036910815,554.270712973275,150.752679527922,445.41094422733,625.940744609462,952.323735432396,1,1
"20",1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,11680.0757272405,110.799664656538,312.712018346522,-190.545521220098,83805259.9124595,52.2627679640535,270.570627576593,-5.29757728233724,9000.56444087751,9843.9038220617,9268.4607744858,9860.68490384879,526.240693613569,810.206523101374,-356.198827381502,513.681707978889,289.967231443297,208.323487358766,-306.789028517325,162.463860290522,-171.83049766231,-638.461860215189,200.766309440771,82.2132615470139,-166.088281721906,136.521304378532,56.7558252337659,69.6702435271512,-79.4997197417861,1,0
"21",0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,7944.94125014695,152.236795025011,-155.346861824255,1385.81238053191,93458961.4669768,112.281915273572,429.933237232027,128.638914478766,1488.64562401564,1351.93304222855,1146.73651980655,1482.47469228475,1896.74690027138,356.709147327553,2141.88657472109,-750.601399217804,311.680023221412,-586.447693501115,1373.59360398556,98.7968146814311,158.633297996289,-227.235115181836,129.554526538675,-11.8317389360219,141.684241379488,248.219921694926,-102.097211447943,-34.9925025511807,50.2982865555619,1,1
"22",1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,7780.87529026773,70.0211864667248,325.267039138764,811.034820935572,98601933.919854,66.7371255885798,893.130647312696,99.7881941998713,154.416588262011,-908.489259626487,1287.14500752384,3337.72648099815,3076.00275292452,1052.13165915593,2068.24209172346,-143.111874563133,-312.140301109795,499.202289882491,-456.782499614315,189.708508962136,814.836998640598,748.430023529069,-87.7790119116523,-96.3557748576176,27.7615783181139,73.6759345384017,-54.57404824541,187.284266012349,641.536198921639,0,1
"23",0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,698.380296706367,139.715344408549,-318.841587329577,1579.04871553521,103289551.967196,47.7039850156645,357.588052836892,91.0702733722217,-226.126556084591,-620.266852037285,-358.784968952291,825.699380667979,767.833864070546,103.401717391596,-275.715254345091,-83.2147345698277,-331.006644104998,-347.727124359681,0.512217441689557,301.469379618606,-416.600097769258,-267.167663431088,122.270009324046,-272.217294222587,25.5373402744923,494.125588335947,165.463115351722,149.347232515384,-8.01128471574145,0,0
"24",1,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,3607.32558544463,148.834799739631,-2608.0902706811,866.030276199851,128819152.557873,-28.1308683853542,-380.049213065977,0.490712471179991,1684.92831456285,-1347.62150675284,1085.79070014386,1053.21584511572,1716.57991390829,2192.00187534994,2398.93942504785,669.829354988916,765.908128151901,-304.95950457736,477.722109488877,154.404603820151,-510.560754362634,-414.763358111037,-180.8151835635,-42.7825087738599,389.45548411068,62.0926912954041,-12.4638952001996,130.272288985265,311.701962690064,1,1
"25",1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,1649.04771950906,0.123364868374737,4641.81114145379,2198.5747796634,57488081.2879081,104.507461063454,1548.53917235174,138.898040613906,-587.438595388555,-1162.83894322726,59.3136494775652,-836.523218209778,464.759896725372,527.872914908716,692.835297478294,-394.432442844253,-272.654318405862,659.097962978655,912.468618974752,1248.95793322826,1258.38556643571,1135.3212628249,-82.3208703741578,-103.271618335895,-60.8105030865601,497.958092049821,-82.4899640081535,168.141796638209,495.018247753826,1,1
"26",1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,-149.330630800029,-61.2531603506895,8890.19587342779,4459.79119826013,-20600151.9047317,72.3053014855268,1250.4340839865,75.2882077780492,2272.36700232951,-343.430989083424,5.8030777282386,-218.166051635507,111.924818058473,-570.83060484569,295.35347606483,3395.7886357996,3230.81568273939,1821.68581972877,2934.30593028819,2085.53895683298,2700.95678180528,2469.76196569199,999.835808505489,1035.0153679247,868.488226413883,892.62535619117,832.62210821651,1128.50303300294,1333.29097511017,1,1
"27",1,0,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,-414.494276681491,11.9232438138743,7266.40349384663,3244.26763652911,99573961.7724399,99.0983799858522,1405.98282543102,76.3301956385267,188.538090288794,-631.929718887031,-152.072688965355,-162.455349260517,-1093.59772434295,1074.75150165786,503.15377622446,1980.19703336909,1553.73969756903,1024.61922794723,1345.77797528594,1101.15417129053,1484.34230990635,1449.90948512987,570.510569455104,886.379790115159,898.492527524946,363.210103833068,422.922456409175,712.987691204401,451.029657798874,1,1
"28",1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,-3912.9398429631,-14.9043430905261,1583.91975588986,611.639079860538,105202310.302715,55.7382026907282,162.02655225977,43.5493302568539,-598.741616391599,-801.598035349089,-620.693429943831,106.986244973388,-1519.04672496566,629.110853691861,-466.645181577567,469.215838793835,118.635606139693,-53.054811745033,928.454537493208,-478.649627370883,-453.718416464949,-356.354427268149,192.746946580223,19.0322676199175,11.2371623093199,-254.851672407765,59.6217993819951,-301.192114377498,0.547934492737317,1,1
"29",1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,10427.8807622333,119.792318601672,487.194716370699,-323.86659829476,90767927.987269,132.990797173774,-69.1710257988659,113.452232125261,353.491842990002,-93.5281741881209,2720.80658141992,3018.96182569639,2107.9262305483,2502.62230845875,3323.6279834226,382.708354937717,174.992351107369,-116.873754578179,-663.045038091151,-1032.9499180429,-285.029367255338,925.760400465202,-102.444811123321,-18.5172277965897,-189.06717790605,-361.597351941316,230.049234380236,-51.7574044058313,307.476094216663,1,0
"30",0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,4111.93440910824,107.236251428755,-1629.10327857196,1133.7111736647,-50859632.496437,86.733556172058,124.410536828592,54.900607792901,313.113996077322,266.751229124655,702.681912862199,1395.41777162282,954.336247468153,-763.138942481055,721.825517571961,98.8313178113807,-325.61768118613,-787.308805835348,111.799398740214,-256.087572025344,-293.672748163261,-466.548624786785,25.8404924953568,-150.280361515386,-148.243817511674,17.9535286765389,58.2092009312403,-10.1824523329663,177.489025837687,0,1
"31",1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,11614.7698342683,118.461560083188,1409.50858469126,1653.1662458662,86174788.0082131,-15.8974902222498,-238.448953872025,133.628542220289,3425.79580776109,3296.23382710017,4104.84357854418,5249.91829336839,3293.84700446363,-1058.83868372335,-317.197118803277,-306.347474587818,-538.928061807429,-409.301627095646,659.218532354151,-90.2916314139945,-740.420162582002,212.5897374787,-85.7924274274961,-5.37190198357183,-197.124439661014,-121.669158019571,-27.0027818474179,775.335356601674,562.05953438372,0,1
"32",0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,-273.466967037451,7.96887126892811,7083.04995824282,2257.16134145216,77891932.7468998,111.658988317748,1396.79115609722,121.509739906209,-268.51203437909,-71.639948499229,-760.484763391256,1690.62643679008,635.331030613994,-244.40411860429,3.22216377855975,1410.40100982402,1360.56891288322,1593.1854345319,1729.10799725133,2013.75040765252,1135.43694939446,698.806644459818,315.226214959479,406.78562608027,466.087060665971,778.263170377205,129.694040502306,672.762334136723,326.726732424776,0,1
"33",0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,11531.4011464218,126.886770803601,2938.89920204553,292.98175220832,265758166.918298,72.076718774239,630.298021433338,65.3176138629368,4488.83532737546,4390.20583394387,4150.10742413009,3258.56102909818,3412.61523784457,3111.89550019595,1194.33799614705,-32.3086798840803,-402.26245494182,141.17102576267,253.813467791946,649.557263270701,260.842508993938,1803.10308513077,-177.827758007336,97.5809140283003,50.3721151299826,-12.9755433449971,330.014371047264,165.564249698446,706.490410995203,1,0
"34",0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,456.851575184314,92.9006350416845,1152.65111381547,-996.401163984399,85791245.4319545,-25.0662225470497,-21.485097050682,-17.2674638009068,1042.43591957628,269.964783560303,-478.753735498123,-273.441651460622,-394.562557075782,535.629184621647,516.008574879793,-429.414712306349,-1627.50617115365,523.19652804555,92.1556782905999,462.683828736464,367.978482563258,-211.70768367137,-193.841789021723,241.562977007418,-11.1645723232099,-160.198512326593,-279.673574131113,295.615646531652,5.91378857008538,1,1
"35",0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,-3663.66987742839,-19.4043688646145,-551.094925596416,578.895627234594,103829908.528454,26.941012526836,-115.135089176943,28.1401824754443,26.6383160674285,-1268.30117107334,-705.190845314778,-303.896876602728,-204.752854290159,321.983962451977,662.362939769556,-465.553470493488,-648.391625172723,-762.878791031132,413.5796868966,-458.046747229721,659.703207272406,-402.914525822562,-31.3439761601747,104.671030777542,61.2207258511532,-177.596563347594,-70.7099072592628,-15.6058880615692,-35.5828856891637,1,1
"36",0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,6095.90608240714,85.1180841956394,6004.15597183744,2228.06167251053,118633110.316849,96.2055548525808,1046.08351638691,109.56300334054,-556.021729927434,-1319.37607845359,1892.88964878869,1204.16088728174,1446.0631874723,1637.95109996202,2121.17015182648,2227.79789615483,1894.61565837593,1466.20393399174,349.736245864109,573.355602234187,1374.49572047809,730.763509865379,627.527186354,428.964080067795,788.248593927862,863.693514830867,772.035608193063,813.186748416125,388.690496755049,1,1
"37",1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,1,1,-1049.00925977963,-43.1216872861184,3385.10484367901,297.126780608735,-70861369.9673782,114.927572033933,473.130571373301,118.85084898696,324.29350209017,332.793067254025,-150.818323514217,224.203367375905,-249.447490983905,221.688212832263,-165.157426040133,248.158604778135,-355.130416484649,299.854330569496,2607.21371534393,-381.3413491926,745.7718057746,22.4546360842798,202.793158366781,-711.663882445027,-86.7907753101699,445.450704858236,119.201211441657,-136.557201948143,-121.788047036674,0,1
"38",1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,-157.80341800117,-22.5500704909363,6659.8657138573,3427.9458535897,-140417686.747631,138.283180915409,897.402770867394,84.3951712287711,-694.503442645426,-1616.77029759491,1252.85991807486,-391.246437848682,-181.005865455005,-194.66678427434,707.895938091783,1859.61352167307,1419.30446274272,1227.21121843075,762.364535566866,2219.91892157004,1682.34240129501,1825.47852123612,341.734278936061,658.760986125045,477.393586391686,620.78905032152,770.569048995252,601.138389179907,454.288854372616,1,0
"39",1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,6626.61983990422,86.032459152074,3467.38731878066,2236.80164308015,-110001794.969197,95.4186929140445,1161.0399672072,98.5522936129688,306.466591486081,-298.287229903492,-495.597848773903,651.194339610685,-446.555414375416,2574.47163676208,1461.10340228212,1928.38518106554,1823.7206402898,1874.54733133208,1241.34949944994,1536.67186133609,1822.59943330257,304.756456314895,733.538872775869,626.945024861087,571.658332045112,972.815744013717,719.10498237761,615.819780930891,725.38551404137,0,1
"40",0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,2030.43070064962,-6.1588426290333,10042.2635456321,3821.411585982,-10009985.5255505,61.9338775783006,1286.24920175669,110.512212453494,79.1106600206246,-598.849195265484,-281.898896352513,-819.557163696871,-634.711567235012,11.8172567333545,-902.354108804505,2266.65588693323,2117.82830338295,2769.71847203212,1975.54410259363,2376.76761844329,2688.76965515739,2020.50782223705,936.114827473052,759.862770118962,900.02328227837,1292.53416158716,1190.12927075663,988.163033530804,616.442459391622,1,0
"41",0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,-437.715377473305,-9.58347576810331,1230.91022524801,903.307696332286,108802228.192418,-20.9571694275755,333.653050479812,8.11322388634332,-684.979985563378,998.645476507046,-1326.59535391574,85.6592934360493,75.1940695714563,-321.059439761295,248.111182827418,-603.722142636614,916.427556786276,312.93062594197,82.0448713560432,-341.646939966473,22.5548625711619,-90.2907339841578,461.635790058697,210.724991898522,41.8564559716921,-179.387846948061,-357.607002451822,97.4109254019142,74.6922256838473,1,0
